attribute;type;missing_or_unknown;information_level
AGER_TYP;categorical;[-1,0];person
ALTERSKATEGORIE_GROB;ordinal;[-1,0,9];person
ALTER_HH;interval;[0];household
ANREDE_KZ;categorical;[-1,0];person
ANZ_HAUSHALTE_AKTIV;numeric;[];building
ANZ_HH_TITEL;numeric;[];building
ANZ_PERSONEN;numeric;[];household
ANZ_TITEL;numeric;[];household
BALLRAUM;ordinal;[-1];postcode
CAMEO_DEUG_2015;categorical;[-1,X];microcell_rr4
CAMEO_DEU_2015;categorical;[XX];microcell_rr4
CAMEO_INTL_2015;mixed;[-1,XX];microcell_rr4
CJT_GESAMTTYP;categorical;[0];person
D19_BANKEN_ANZ_12;ordinal;[0];household
D19_BANKEN_ANZ_24;ordinal;[0];household
D19_BANKEN_DATUM;ordinal;[10];household
D19_BANKEN_DIREKT;categorical;[0];grid_125_125
D19_BANKEN_GROSS;categorical;[0];grid_125_125
D19_BANKEN_LOKAL;categorical;[0];grid_125_125
D19_BANKEN_OFFLINE_DATUM;ordinal;[10];household
D19_BANKEN_ONLINE_DATUM;ordinal;[10];household
D19_BANKEN_ONLINE_QUOTE_12;ordinal;[];household
D19_BANKEN_REST;categorical;[0];grid_125_125
D19_BEKLEIDUNG_GEH;categorical;[0];grid_125_125
D19_BEKLEIDUNG_REST;categorical;[0];grid_125_125
D19_BILDUNG;categorical;[0];grid_125_125
D19_BIO_OEKO;categorical;[0];grid_125_125
D19_BUCH_CD;categorical;[0];grid_125_125
D19_DIGIT_SERV;categorical;[0];grid_125_125
D19_DROGERIEARTIKEL;categorical;[0];grid_125_125
D19_ENERGIE;categorical;[0];grid_125_125
D19_FREIZEIT;categorical;[0];grid_125_125
D19_GARTEN;categorical;[0];grid_125_125
D19_GESAMT_ANZ_12;ordinal;[0];household
D19_GESAMT_ANZ_24;ordinal;[0];household
D19_GESAMT_DATUM;ordinal;[10];household
D19_GESAMT_OFFLINE_DATUM;ordinal;[10];household
D19_GESAMT_ONLINE_DATUM;ordinal;[10];household
D19_GESAMT_ONLINE_QUOTE_12;ordinal;[];household
D19_HANDWERK;categorical;[0];grid_125_125
D19_HAUS_DEKO;categorical;[0];grid_125_125
D19_KINDERARTIKEL;categorical;[0];grid_125_125
D19_KONSUMTYP;categorical;[];household
KK_KUNDENTYP;categorical;[-1];household
D19_KOSMETIK;categorical;[0];grid_125_125
D19_LEBENSMITTEL;categorical;[0];grid_125_125
D19_LOTTO;categorical;[0];grid_125_125
D19_NAHRUNGSERGAENZUNG;categorical;[0];grid_125_125
D19_RATGEBER;categorical;[0];grid_125_125
D19_REISEN;categorical;[0];grid_125_125
D19_SAMMELARTIKEL;categorical;[0];grid_125_125
D19_SCHUHE;categorical;[0];grid_125_125
D19_SONSTIGE;categorical;[0];grid_125_125
D19_TECHNIK;categorical;[0];grid_125_125
D19_TELKO_ANZ_12;ordinal;[0];household
D19_TELKO_ANZ_24;ordinal;[0];household
D19_TELKO_DATUM;ordinal;[10];household
D19_TELKO_MOBILE;categorical;[0];grid_125_125
D19_TELKO_OFFLINE_DATUM;ordinal;[10];household
D19_TELKO_ONLINE_DATUM;ordinal;[10];household
D19_TELKO_REST;categorical;[0];grid_125_125
D19_TIERARTIKEL;categorical;[0];grid_125_125
D19_VERSAND_ANZ_12;ordinal;[0];household
D19_VERSAND_ANZ_24;ordinal;[0];household
D19_VERSAND_DATUM;ordinal;[10];household
D19_VERSAND_OFFLINE_DATUM;ordinal;[10];household
D19_VERSAND_ONLINE_DATUM;ordinal;[10];household
D19_VERSAND_ONLINE_QUOTE_12;ordinal;[];household
D19_VERSAND_REST;categorical;[0];grid_125_125
D19_VERSICHERUNGEN;categorical;[0];grid_125_125
D19_VERSI_ANZ_12;ordinal;[0];household
D19_VERSI_ANZ_24;ordinal;[0];household
D19_VOLLSORTIMENT;categorical;[0];grid_125_125
D19_WEIN_FEINKOST;categorical;[0];grid_125_125
EWDICHTE;ordinal;[-1];postcode
FINANZTYP;categorical;[-1];person
FINANZ_ANLEGER;ordinal;[-1];person
FINANZ_HAUSBAUER;ordinal;[-1];person
FINANZ_MINIMALIST;ordinal;[-1];person
FINANZ_SPARER;ordinal;[-1];person
FINANZ_UNAUFFAELLIGER;ordinal;[-1];person
FINANZ_VORSORGER;ordinal;[-1];person
GEBAEUDETYP;categorical;[-1,0];building
GEBAEUDETYP_RASTER;ordinal;[];rr1_id
GEBURTSJAHR;numeric;[0];person
GFK_URLAUBERTYP;categorical;[];person
GREEN_AVANTGARDE;categorical;[];person
HEALTH_TYP;ordinal;[-1,0];person
HH_EINKOMMEN_SCORE;ordinal;[-1,0];household
INNENSTADT;ordinal;[-1];postcode
KBA05_ALTER1;ordinal;[-1,9];rr3_id
KBA05_ALTER2;ordinal;[-1,9];rr3_id
KBA05_ALTER3;ordinal;[-1,9];rr3_id
KBA05_ALTER4;ordinal;[-1,9];rr3_id
KBA05_ANHANG;ordinal;[-1,9];rr3_id
KBA05_ANTG1;ordinal;[-1];rr3_id
KBA05_ANTG2;ordinal;[-1];rr3_id
KBA05_ANTG3;ordinal;[-1];rr3_id
KBA05_ANTG4;ordinal;[-1];rr3_id
KBA05_AUTOQUOT;ordinal;[-1,9];rr3_id
KBA05_BAUMAX;mixed;[-1,0];rr3_id
KBA05_CCM1;ordinal;[-1,9];rr3_id
KBA05_CCM2;ordinal;[-1,9];rr3_id
KBA05_CCM3;ordinal;[-1,9];rr3_id
KBA05_CCM4;ordinal;[-1,9];rr3_id
KBA05_DIESEL;ordinal;[-1,9];rr3_id
KBA05_FRAU;ordinal;[-1,9];rr3_id
KBA05_GBZ;ordinal;[-1,0];rr3_id
KBA05_HERST1;ordinal;[-1,9];rr3_id
KBA05_HERST2;ordinal;[-1,9];rr3_id
KBA05_HERST3;ordinal;[-1,9];rr3_id
KBA05_HERST4;ordinal;[-1,9];rr3_id
KBA05_HERST5;ordinal;[-1,9];rr3_id
KBA05_HERSTTEMP;ordinal;[-1,9];building
KBA05_KRSAQUOT;ordinal;[-1,9];rr3_id
KBA05_KRSHERST1;ordinal;[-1,9];rr3_id
KBA05_KRSHERST2;ordinal;[-1,9];rr3_id
KBA05_KRSHERST3;ordinal;[-1,9];rr3_id
KBA05_KRSKLEIN;ordinal;[-1,9];rr3_id
KBA05_KRSOBER;ordinal;[-1,9];rr3_id
KBA05_KRSVAN;ordinal;[-1,9];rr3_id
KBA05_KRSZUL;ordinal;[-1,9];rr3_id
KBA05_KW1;ordinal;[-1,9];rr3_id
KBA05_KW2;ordinal;[-1,9];rr3_id
KBA05_KW3;ordinal;[-1,9];rr3_id
KBA05_MAXAH;ordinal;[-1,9];rr3_id
KBA05_MAXBJ;ordinal;[-1,9];rr3_id
KBA05_MAXHERST;ordinal;[-1,9];rr3_id
KBA05_MAXSEG;ordinal;[-1,9];rr3_id
KBA05_MAXVORB;ordinal;[-1,9];rr3_id
KBA05_MOD1;ordinal;[-1,9];rr3_id
KBA05_MOD2;ordinal;[-1,9];rr3_id
KBA05_MOD3;ordinal;[-1,9];rr3_id
KBA05_MOD4;ordinal;[-1,9];rr3_id
KBA05_MOD8;ordinal;[-1,9];rr3_id
KBA05_MODTEMP;categorical;[-1,9];building
KBA05_MOTOR;ordinal;[-1,9];rr3_id
KBA05_MOTRAD;ordinal;[-1,9];rr3_id
KBA05_SEG1;ordinal;[-1,9];rr3_id
KBA05_SEG10;ordinal;[-1,9];rr3_id
KBA05_SEG2;ordinal;[-1,9];rr3_id
KBA05_SEG3;ordinal;[-1,9];rr3_id
KBA05_SEG4;ordinal;[-1,9];rr3_id
KBA05_SEG5;ordinal;[-1,9];rr3_id
KBA05_SEG6;categorical;[-1,9];rr3_id
KBA05_SEG7;ordinal;[-1,9];rr3_id
KBA05_SEG8;ordinal;[-1,9];rr3_id
KBA05_SEG9;ordinal;[-1,9];rr3_id
KBA05_VORB0;ordinal;[-1,9];rr3_id
KBA05_VORB1;ordinal;[-1,9];rr3_id
KBA05_VORB2;ordinal;[-1,9];rr3_id
KBA05_ZUL1;ordinal;[-1,9];rr3_id
KBA05_ZUL2;ordinal;[-1,9];rr3_id
KBA05_ZUL3;ordinal;[-1,9];rr3_id
KBA05_ZUL4;ordinal;[-1,9];rr3_id
KBA13_ALTERHALTER_30;ordinal;[-1];plz8
KBA13_ALTERHALTER_45;ordinal;[-1];plz8
KBA13_ALTERHALTER_60;ordinal;[-1];plz8
